gene,p_value,slope,p_value_adj,condition,comparison,dataset,cell_type,meta_p,meta_p_adj,neg_log10_adj_pval,trend
LIN54,2.850484863526858e-10,0.20008422647555305,6.027144611934899e-10,healthy,aging,onek1k,CD4T,4.33922918113258e-17,8.25228406768965e-17,16.083425830758664,Increase in aging
LYL1,3.158213944347716e-09,0.18814111264816122,5.760690671020512e-09,healthy,aging,onek1k,CD4T,4.51063795987064e-38,7.95156622322804e-37,36.09954731975723,Increase in aging
MAF,1.507519391134245e-11,0.21374501946033306,4.1335209111745435e-11,healthy,aging,onek1k,CD4T,1.9349484625652099e-28,9.4745752304917e-28,27.023440251458965,Increase in aging
MAFF,5.048844421255675e-08,0.1733369345633951,8.189919385624664e-08,healthy,aging,onek1k,CD4T,1.1970086293502201e-10,1.67188746263342e-10,9.776792958955724,Inconsistent
MAX,1.0674235627227922e-07,0.1691142942620553,1.6629877452718367e-07,healthy,aging,onek1k,CD4T,1.03645169450899e-21,2.84857046361826e-21,20.54537303315584,Inconsistent
MAZ,9.539038591653372e-05,0.12457366643079297,0.00011717027171828564,healthy,aging,onek1k,CD4T,2.02360153998351e-15,3.5185888001345904e-15,14.453631484022178,Inconsistent
MBD1,3.2089679314632444e-15,0.24865802998668193,3.171654350864834e-14,healthy,aging,onek1k,CD4T,1.24542667296361e-28,6.39218991183732e-28,27.194350330621823,Increase in aging
MBD2,4.5294189737187816e-10,0.19784236616899106,9.210540975265465e-10,healthy,aging,onek1k,CD4T,1.70351596512075e-24,6.31041566209949e-24,23.199942033178896,Increase in aging
MBD4,2.8569997566919987e-15,0.24910093178154674,2.961524138034389e-14,healthy,aging,onek1k,CD4T,3.3473557852855402e-37,4.45616738916138e-36,35.35103850391518,Inconsistent
MBNL2,5.974484382046284e-14,0.23721115853906916,3.2553280286790645e-13,healthy,aging,onek1k,CD4T,2.69150276551769e-27,1.18204142073251e-26,25.927367304774236,Increase in aging
MECP2,1.1623055846316605e-15,0.2525006178135884,1.3721663151901548e-14,healthy,aging,onek1k,CD4T,4.2645899060565e-28,2.04125314604502e-27,26.69010313290613,Increase in aging
MEF2A,4.5172693461997166e-10,-0.19785544471492308,9.210540975265465e-10,healthy,aging,onek1k,CD4T,2.46010318597025e-20,6.05782634233137e-20,19.217683180598446,Decrease in aging
MEF2D,1.0334418276224399e-10,0.2049068531407162,2.3741231175110104e-10,healthy,aging,onek1k,CD4T,3.9658963043013e-17,7.57610684140069e-17,16.120553909360698,Inconsistent
MEOX1,2.1461592986720358e-15,0.2501879164591202,2.338763338296449e-14,healthy,aging,onek1k,CD4T,7.70378320927184e-35,6.83710759822875e-34,33.165127585384546,Increase in aging
MGA,1.3818161051224326e-11,0.21413570390177036,3.8181350225973925e-11,healthy,aging,onek1k,CD4T,7.553941804444049e-18,1.4898051892098e-17,16.82687051734783,Increase in aging
MLX,1.6115175476352342e-06,0.15283748223390875,2.223684927743424e-06,healthy,aging,onek1k,CD4T,1.50000382292861e-27,6.87098525341491e-27,26.162980983545747,Increase in aging
MLXIP,5.1667848461339416e-17,-0.26389553657726195,8.132902072618243e-16,healthy,aging,onek1k,CD4T,2.0229595310098296e-40,4.9117177806939e-39,38.308766595003796,Decrease in aging
MSC,5.933150489068289e-13,0.22778545823228394,2.3788575074094554e-12,healthy,aging,onek1k,CD4T,7.72037390750077e-39,1.46596234778708e-37,36.83387718410028,Increase in aging
MTERF4,0.060842915744612085,-0.06002842138278824,0.06546389668724086,healthy,aging,onek1k,CD4T,2.59098129147351e-07,2.97508903010166e-07,6.526500033396495,Decrease in aging
MTF2,2.997232803915296e-11,0.21063450743795126,7.493082009788239e-11,healthy,aging,onek1k,CD4T,1.00745349561381e-32,7.27415574799127e-32,31.13821740444036,Increase in aging
MXD3,4.027807608168531e-06,0.14694723695128875,5.400057518837936e-06,healthy,aging,onek1k,CD4T,8.009047812386451e-10,1.05304147162859e-09,8.977554524783375,Inconsistent
MXD4,2.7320304339982564e-11,0.21105664881637118,6.994656231622043e-11,healthy,aging,onek1k,CD4T,7.16288780198708e-29,3.86251924512215e-28,27.41312934367597,Increase in aging
MXI1,2.4415241708999143e-07,0.16432198839168127,3.628139065148474e-07,healthy,aging,onek1k,CD4T,2.37024455822074e-10,3.24670154920268e-10,9.48855763175947,Inconsistent
MYB,0.06778878466833142,-0.058486805533272734,0.07256985764242029,healthy,aging,onek1k,CD4T,4.16703983344855e-10,5.61759167420596e-10,9.250449831543117,Decrease in aging
MYBL1,9.727475580734472e-12,0.21570325736113524,2.8123653889878577e-11,healthy,aging,onek1k,CD4T,7.296061795919541e-23,2.28538406254538e-22,21.641040805559914,Increase in aging
MYC,1.299375434301388e-10,-0.2038287897615031,2.9374178700962227e-10,healthy,aging,onek1k,CD4T,2.0922095610619498e-11,3.00094704717977e-11,10.522741667794248,Decrease in aging
MYSM1,5.379896281479467e-10,0.19700262798092524,1.0836283979283287e-09,healthy,aging,onek1k,CD4T,4.76462388468306e-10,6.34290554648432e-10,9.197711755723153,Inconsistent
NCOA1,2.4581215768766657e-11,0.21153695938402775,6.36784624908431e-11,healthy,aging,onek1k,CD4T,5.313468462132831e-15,9.12716760027656e-15,14.03966397453757,Increase in aging
NCOA2,2.32269055167074e-11,0.21179413420702176,6.056094996687513e-11,healthy,aging,onek1k,CD4T,2.94010199485742e-10,3.9888007955709004e-10,9.39915765221976,Inconsistent
NCOA3,0.14096990973139062,0.04715782820429599,0.1494070115607008,healthy,aging,onek1k,CD4T,1.67767899298082e-05,1.74741137166217e-05,4.757604842348614,Inconsistent
NFAT5,9.623829254358908e-12,0.21575090432437527,2.801457145960641e-11,healthy,aging,onek1k,CD4T,8.61288563301855e-18,1.68306847691096e-17,16.77389821406602,Increase in aging
NFATC1,5.53741361901663e-13,0.22807500665243943,2.2413340838876833e-12,healthy,aging,onek1k,CD4T,7.1434032359441495e-12,1.0603100273561699e-11,10.974567131448685,Inconsistent
NFATC2,1.5949140157429453e-13,0.23322987098960818,7.593437549405718e-13,healthy,aging,onek1k,CD4T,2.99764271677296e-24,1.0467178666764601e-23,22.980170362693052,Increase in aging
NFATC3,3.65160112631212e-05,0.1317420587703966,4.6051349515805665e-05,healthy,aging,onek1k,CD4T,3.10991809131373e-07,3.55180993806877e-07,6.449550281929586,Inconsistent
NFE2L2,2.4722226614092032e-11,0.21151098304205815,6.36784624908431e-11,healthy,aging,onek1k,CD4T,1.62411334596103e-10,2.2536556527016302e-10,9.647112441242912,Inconsistent
NFE2L3,8.392283238646926e-12,0.2163589792459739,2.4768891502950998e-11,healthy,aging,onek1k,CD4T,8.98637675527555e-29,4.72616851573751e-28,27.325490797271964,Increase in aging
NFIC,1.057432267126148e-20,0.29247071343957776,4.085533759351026e-19,healthy,aging,onek1k,CD4T,2.07537371015235e-40,4.9117177806939e-39,38.308766595003796,Inconsistent
NFKB1,2.7258883382208146e-06,0.14948524950450592,3.6894985469549246e-06,healthy,aging,onek1k,CD4T,7.52609890802844e-06,7.99530706937685e-06,5.09716485199592,Inconsistent
NFKB2,9.972214942168954e-14,0.2351430505238726,5.168526037099763e-13,healthy,aging,onek1k,CD4T,6.93881116464045e-16,1.25251421870205e-15,14.902217335266075,Inconsistent
NFX1,2.6348756425363355e-18,0.27429436849419553,5.893800779357592e-17,healthy,aging,onek1k,CD4T,1.72392385831535e-21,4.6480478711540404e-21,20.33272940771089,Inconsistent
NFYC,8.109064477025831e-10,0.19498519448970023,1.588180830753907e-09,healthy,aging,onek1k,CD4T,5.13152694442775e-33,3.90362585415396e-32,31.408531814279698,Increase in aging
NME2,4.714697345406349e-06,0.1459115658776707,6.242200535195322e-06,healthy,aging,onek1k,CD4T,7.7530711688308e-19,1.70247851439274e-18,17.76891836026073,Increase in aging
NPAS2,0.0008817368845966322,-0.10628991731600457,0.0010380558890680574,healthy,aging,onek1k,CD4T,8.27276694640922e-21,2.0977373328394802e-20,19.678248892710627,Decrease in aging
NR1D1,5.418407838910365e-09,0.18535207076836033,9.635244065007972e-09,healthy,aging,onek1k,CD4T,7.98891662749593e-15,1.3411229240262701e-14,13.872531413960743,Increase in aging
NR1D2,7.660537357197185e-10,0.19526624766481793,1.5285109750276072e-09,healthy,aging,onek1k,CD4T,2.01413926730636e-08,2.46558427549571e-08,7.608080148372257,Inconsistent
NR1H2,1.0786862355558818e-12,0.22526129886740343,4.078107307589195e-12,healthy,aging,onek1k,CD4T,6.285467934664929e-18,1.2453996931010501e-17,16.904691245636087,Inconsistent
NR2C1,3.358470532683284e-21,0.2960873897198717,2.0390713948434224e-19,healthy,aging,onek1k,CD4T,3.6000095212408804e-21,9.29457003665827e-21,20.031770695728092,Inconsistent
NR2C2,1.829071639253774e-08,0.17890397321337717,3.0847438360430716e-08,healthy,aging,onek1k,CD4T,1.53141309362196e-16,2.87392941798659e-16,15.541523902087443,Increase in aging
NR3C1,3.300042989592655e-14,0.23958307485002037,1.9753778458829273e-13,healthy,aging,onek1k,CD4T,9.287757072997399e-19,2.0186655679065798e-18,17.694935624614157,Increase in aging
NR3C2,0.41271162027948805,0.026248867622939057,0.42367738796807347,healthy,aging,onek1k,CD4T,1.98841833060211e-05,2.05598594377791e-05,4.686979858821002,Inconsistent
NR4A1,8.2466108444737e-07,0.15700909296684157,1.160532983079908e-06,healthy,aging,onek1k,CD4T,1.22836520341724e-07,1.43759224355973e-07,6.842364279101848,Inconsistent
NR4A2,4.4263848551112986e-07,0.16078839250928725,6.398685589871775e-07,healthy,aging,onek1k,CD4T,5.9914047217531e-06,6.44529901885561e-06,5.190756929477908,Inconsistent
NR4A3,1.0682250693157915e-07,0.1691100079074162,1.6629877452718367e-07,healthy,aging,onek1k,CD4T,2.02971730431236e-07,2.34325087164516e-07,6.630181212752305,Inconsistent
PA2G4,0.22432883339550577,0.03892947329633486,0.23367586812031851,healthy,aging,onek1k,CD4T,6.18875803515273e-07,6.97463207136261e-07,6.156478697529851,Increase in aging
PBX4,2.104639734385201e-13,0.23209203103816878,9.415493548565373e-13,healthy,aging,onek1k,CD4T,2.710602692006e-16,4.97722735687309e-16,15.303012520481579,Increase in aging
PHF1,7.988534532460064e-18,0.27047146949507417,1.543239625588876e-16,healthy,aging,onek1k,CD4T,1.86113842161312e-18,3.90564023451817e-18,17.408307763956376,Inconsistent
PHF19,4.158476016629822e-06,0.14673781883254206,5.557711657445516e-06,healthy,aging,onek1k,CD4T,3.8717027322581204e-19,8.72669504731196e-19,18.05915020010566,Increase in aging
PHF20,1.0747061623550038e-17,0.269438690419767,1.9102047874729915e-16,healthy,aging,onek1k,CD4T,4.1962343739942903e-19,9.35914054095061e-19,18.028764031118772,Inconsistent
PHF21A,2.030195807769338e-11,0.21240360994030216,5.392707614387304e-11,healthy,aging,onek1k,CD4T,1.55580740823715e-19,3.56330083822056e-19,18.44814750999148,Increase in aging
PIN1,1.669716517222893e-05,0.13732295706406872,2.150392484302211e-05,healthy,aging,onek1k,CD4T,1.32714942055424e-18,2.8127644435627197e-18,17.5508666365317,Increase in aging
PLAG1,5.3546294159176835e-12,-0.21834185723059765,1.673321692474276e-11,healthy,aging,onek1k,CD4T,4.66641210283336e-38,7.95156622322804e-37,36.09954731975723,Decrease in aging
PLSCR1,0.006299066300941136,0.08738722891989216,0.007063596775461696,healthy,aging,onek1k,CD4T,0.0395119155939451,0.0396048848071073,1.4022512455406853,Inconsistent
POU2F1,1.799165080511848e-30,0.3556306138325006,2.5488171973917846e-28,healthy,aging,onek1k,CD4T,4.10200775502346e-24,1.40923814809677e-23,22.85101560897385,Inconsistent
POU2F2,1.0840838681576029e-07,0.16902583009944303,1.6815169487846032e-07,healthy,aging,onek1k,CD4T,3.49968211986296e-33,2.71066287829386e-32,31.566924491715252,Increase in aging
PRDM1,3.695156000134073e-15,0.2481190467122257,3.48986955568218e-14,healthy,aging,onek1k,CD4T,7.379931236015879e-36,7.85962676635691e-35,34.10459807700897,Increase in aging
PRDM2,2.842245813942051e-10,0.2000981571281302,6.027144611934899e-10,healthy,aging,onek1k,CD4T,6.40296373274821e-11,9.002186634160849e-11,10.045651987471082,Inconsistent
PRDM8,2.8918754016365116e-11,0.21079766649443296,7.272467726008979e-11,healthy,aging,onek1k,CD4T,3.5989302268910494e-30,2.04419236887411e-29,28.68947823729985,Increase in aging
PREB,0.06955672534491333,0.05811527412529066,0.07408924378844152,healthy,aging,onek1k,CD4T,1.27423724113083e-14,2.1039731190764902e-14,13.676959813145354,Increase in aging
PURB,2.3417132354028434e-10,0.20102814761169238,5.051919416478216e-10,healthy,aging,onek1k,CD4T,1.05963783181383e-25,4.1036883304790004e-25,24.386825630716192,Increase in aging
RARA,5.912912118623133e-14,0.2372527762022596,3.2553280286790645e-13,healthy,aging,onek1k,CD4T,2.26571652733555e-44,9.651952406449429e-43,42.01538482825386,Increase in aging
RARG,3.994306658393978e-07,0.1614038846319105,5.815557888333364e-07,healthy,aging,onek1k,CD4T,9.625547014981159e-18,1.87236667962647e-17,16.727609096119217,Increase in aging
RBCK1,2.0585948727638637e-06,0.15128490519436733,2.8222671642730393e-06,healthy,aging,onek1k,CD4T,2.7116598571263903e-15,4.695801215999361e-15,14.32829029604959,Increase in aging
RBPJ,5.226893324672713e-12,0.21844786058832213,1.645503454063632e-11,healthy,aging,onek1k,CD4T,6.59420331315475e-38,1.0377612525195299e-36,35.98390254883776,Increase in aging
REL,3.5583822095318224e-12,0.220128711954722,1.1456912417053215e-11,healthy,aging,onek1k,CD4T,4.0133417577812403e-10,5.42756694861844e-10,9.265394810851665,Inconsistent
RELA,3.8918985792755384e-13,0.2295480537384357,1.5904393232616382e-12,healthy,aging,onek1k,CD4T,6.30008003124803e-32,4.3997280218224e-31,30.35657416948484,Increase in aging
RELB,1.3835124552470552e-11,0.21413020394069726,3.8181350225973925e-11,healthy,aging,onek1k,CD4T,1.4507598316338e-11,2.1021213886938697e-11,10.67734220889876,Inconsistent
REPIN1,0.2141590061660997,-0.03979742783399044,0.22418122566648369,healthy,aging,onek1k,CD4T,3.37859440287651e-05,3.46814750753107e-05,4.459902439354875,Decrease in aging
REST,2.3127818344450157e-14,0.24099145866128754,1.5358316869361434e-13,healthy,aging,onek1k,CD4T,1.58052318216487e-30,9.35142882780879e-30,29.029122027135585,Inconsistent
RFX3,4.194816846361072e-06,0.1466806954105517,5.588705829791397e-06,healthy,aging,onek1k,CD4T,1.24432686683682e-05,1.30884751919132e-05,4.883110945833557,Inconsistent
RFX7,5.384020531026922e-08,0.1729784558799316,8.667457294266824e-08,healthy,aging,onek1k,CD4T,1.58813155387261e-16,2.96729842960408e-16,15.52763877326097,Increase in aging
RLF,3.8339812927255164e-07,0.1616487232746103,5.618765687614981e-07,healthy,aging,onek1k,CD4T,1.06440446122361e-07,1.24913581399796e-07,6.903390339797806,Inconsistent
RORA,1.306056658546333e-12,0.2244472271643454,4.785121378294754e-12,healthy,aging,onek1k,CD4T,1.15763269178511e-14,1.91887753579944e-14,13.716952741378998,Increase in aging
RORC,1.0482480738179655e-06,0.15552787340347612,1.4703149550251993e-06,healthy,aging,onek1k,CD4T,1.62809545605105e-15,2.8778782750113904e-15,14.540927579269756,Increase in aging
RREB1,1.8141017530861774e-14,0.2419485035308325,1.3067682119688566e-13,healthy,aging,onek1k,CD4T,5.51304238368755e-13,8.60276943388607e-13,12.065361716635827,Inconsistent
RUNX1,0.006210751410526996,0.08753537282443016,0.007001510210806295,healthy,aging,onek1k,CD4T,1.85783856266669e-05,1.93033957974636e-05,4.714366284444385,Inconsistent
RUNX2,5.613929800904449e-11,0.20775124967568348,1.3556364576047674e-10,healthy,aging,onek1k,CD4T,4.37733141616794e-27,1.8647431832875398e-26,25.72938097177009,Increase in aging
RUNX3,4.795333336189474e-14,0.23809270805092658,2.754076578216928e-13,healthy,aging,onek1k,CD4T,2.41620908305425e-18,4.99662655039375e-18,17.30132310866509,Increase in aging
RXRA,1.1644923231384336e-12,0.22493590386997228,4.341309099419599e-12,healthy,aging,onek1k,CD4T,1.0608281553103799e-42,3.47625226278632e-41,40.4588887154337,Increase in aging
SAFB,0.010734577543732221,0.08163093221974474,0.01191173748325377,healthy,aging,onek1k,CD4T,4.4287766509679e-17,8.385150459165891e-17,16.07648914021362,Inconsistent
SAFB2,1.3858206251553127e-19,0.284161866730419,4.206955469221485e-18,healthy,aging,onek1k,CD4T,3.62848795324691e-24,1.2566958277099e-23,22.900769826795123,Inconsistent
SATB1,9.718750002494093e-14,-0.2352474529539608,5.099344137111098e-13,healthy,aging,onek1k,CD4T,6.28275237787401e-41,1.67278282060896e-39,38.776560440348824,Decrease in aging
SCMH1,3.787275178282507e-09,0.18720733932752295,6.878598080213956e-09,healthy,aging,onek1k,CD4T,2.2251376836483e-20,5.51109682112894e-20,19.258761959050258,Increase in aging
SCML4,8.789797356644933e-24,-0.31405682122361556,7.471327753148193e-22,healthy,aging,onek1k,CD4T,8.14852467950472e-30,4.5674625177223797e-29,28.34032500794108,Decrease in aging
SETDB2,1.3611239843922694e-10,0.2036094884967436,3.060728536331823e-10,healthy,aging,onek1k,CD4T,9.54233878150127e-20,2.23353644006568e-19,18.651006957635687,Increase in aging
SKI,8.389116567445796e-11,0.20588354165057265,1.9589970006398151e-10,healthy,aging,onek1k,CD4T,1.98996099141734e-15,3.4742761571466704e-15,14.459135664081701,Inconsistent
SKIL,2.4816371260528418e-05,0.13452417405602915,3.167254590307681e-05,healthy,aging,onek1k,CD4T,1.91913879227968e-05,1.98918035404172e-05,4.701325838688458,Inconsistent
SLC2A4RG,0.0010156141594793494,0.10503112340843074,0.0011858132356558338,healthy,aging,onek1k,CD4T,8.88979115023808e-10,1.15458872865897e-09,8.937572686491906,Increase in aging
SMAD3,3.1946320148243073e-12,0.22059765464509018,1.0443989279233311e-11,healthy,aging,onek1k,CD4T,1.3274501042671e-22,4.03924103155561e-22,21.39370023062519,Increase in aging
SMAD4,0.1845489176708907,-0.042507617572350255,0.19414180695576375,healthy,aging,onek1k,CD4T,4.01524273738117e-08,4.84559038562147e-08,7.314653301049329,Inconsistent
SMAD5,2.0008448908705673e-13,0.23229998379169997,9.046373176808415e-13,healthy,aging,onek1k,CD4T,8.954992779511059e-40,2.00780364424827e-38,37.69727876184035,Increase in aging
SMYD3,1.5120816387681734e-12,0.22382166469046152,5.36498868699474e-12,healthy,aging,onek1k,CD4T,3.0533895382994503e-20,7.390590587020271e-20,19.131320855456917,Increase in aging
SNAI1,1.5611259954455323e-06,0.15303780475975404,2.1611679090044013e-06,healthy,aging,onek1k,CD4T,2.46812698305209e-07,2.84168133724375e-07,6.546424624943375,Inconsistent
SNAI3,2.3553893220150893e-08,0.1775338115494266,3.925648870025149e-08,healthy,aging,onek1k,CD4T,6.09702166472135e-37,7.63920949756264e-36,35.11695157972388,Increase in aging
SNAPC2,1.3420194516186832e-05,0.13884310886362172,1.7336117536107608e-05,healthy,aging,onek1k,CD4T,1.87513459434094e-26,7.53591827537021e-26,25.12286381997476,Increase in aging
SNAPC5,0.00019447886269208998,0.1189974676343758,0.00023615290469753786,healthy,aging,onek1k,CD4T,8.99207323236073e-13,1.3779220133041999e-12,11.860775361637451,Increase in aging
SON,0.015126079848340393,0.07774338931195444,0.01661132799882343,healthy,aging,onek1k,CD4T,4.35487461651901e-06,4.7325933332579e-06,5.324900812394448,Inconsistent
SOX13,1.9940491967651182e-07,0.1655073849314135,2.9945968502656367e-07,healthy,aging,onek1k,CD4T,1.34842288921701e-23,4.4529314016003403e-23,22.351353995220432,Increase in aging
SOX4,2.0368867976959464e-54,-0.46855497538928276,8.656768890207773e-52,healthy,aging,onek1k,CD4T,1.18955084246999e-69,5.06748658892216e-67,66.2952073919916,Decrease in aging
