TF,median_LPS,median_NS,effect,U,p,FDR,sig
RUNX1,11.141417430424346,1.913983906507631,9.227433523916714,13926.0,7.652556598952988e-38,2.1791121534823448e-37,***
STAT4,1.4546488491127683,-2.9582754863252414,4.41292433543801,13920.0,8.851653903364131e-38,2.5052862865885147e-37,***
SMAD5,-0.13258973332902746,0.12156570363147665,-0.25415543696050413,225.0,9.068916795483673e-38,2.5513157490908884e-37,***
NFAT5,2.4673623630792387,-1.2915396719306103,3.758902035009849,13909.0,1.1555313872557312e-37,3.2313362745414763e-37,***
MEF2C,-0.3303705713736981,2.5210729305315693,-2.8514435019052673,241.0,1.3361173013157635e-37,3.714087974490843e-37,***
ZBTB40,0.9590669015557614,2.5880268253088516,-1.6289599237530903,242.0,1.3688307144108005e-37,3.782508542188425e-37,***
SRF,6.041876985836845,1.428935258706017,4.612941727130829,13899.0,1.4718246888374581e-37,4.0431889981593704e-37,***
JDP2,-0.4296104825167979,12.251123940907325,-12.680734423424123,249.0,1.6212248847771842e-37,4.427555679479211e-37,***
PIN1,5.117365866572655,7.621549251847823,-2.5041833852751685,251.0,1.701483456290233e-37,4.619725430741505e-37,***
PLAGL1,0.898009520044212,7.0227856555989465,-6.124776135554734,259.0,2.063976811476621e-37,5.5715443408068325e-37,***
RBPJ,-1.914807027755951,1.225634425446592,-3.140441453202543,274.0,2.96286708662801e-37,7.952062812961383e-37,***
ZNF189,1.2120516870523765,-0.49201217736905944,1.7040638644214359,13864.0,3.4230982362587123e-37,9.13478215047325e-37,***
ZNF469,4.034628960523264,1.5280835106945287,2.506545449828735,13861.0,3.679191912226942e-37,9.707246457683514e-37,***
AKAP8,5.629178861298234,7.21901376879444,-1.589834907496206,283.0,3.679191912226942e-37,9.707246457683514e-37,***
CC2D1A,3.738453801439378,4.982572788991217,-1.2441189875518384,287.0,4.050499693080122e-37,1.0626872790272006e-36,***
TIGD5,2.9507048871939707,6.578015254686749,-3.627310367492778,292.0,4.567405920922839e-37,1.1916081369111541e-36,***
RXRB,4.835228455392514,8.295050208464136,-3.4598217530716227,298.0,5.274880998321314e-37,1.3685385701200296e-36,***
MNT,3.1596510801687776,9.569907297265612,-6.410256217096834,302.0,5.806008157686047e-37,1.4980142594692729e-36,***
TBP,0.6863323524407141,1.2923419694265008,-0.6060096169857867,303.0,5.946892475080977e-37,1.5259333988257232e-36,***
ZNF174,-1.489975739091944,0.0469271760464302,-1.5369029151383742,306.0,6.390256651532535e-37,1.630737626374696e-36,***
ERF,3.9092364509805684,8.365696306029957,-4.456459855049388,317.0,8.31581341616463e-37,2.110589600733088e-36,***
SAFB2,3.794908671501788,9.607219096367771,-5.812310424865983,321.0,9.150697784085463e-37,2.309932900090763e-36,***
AKAP8L,3.738722371602787,8.46530388947258,-4.726581517869793,326.0,1.0312331468513809e-36,2.5891713955892196e-36,***
ATF6B,3.3759981010148454,8.255525321053959,-4.8795272200391135,337.0,1.3409388269939333e-36,3.3487616695516945e-36,***
MBD3,5.043145295848758,6.452099609353831,-1.408954313505073,338.0,1.3733088566899061e-36,3.41135763869248e-36,***
LYL1,3.1989416667558395,10.9321003620854,-7.733158695329561,340.0,1.4403968792533504e-36,3.559075886832353e-36,***
ZNF324,2.4684895568302947,3.4659125768526025,-0.9974230200223078,343.0,1.5471830564121916e-36,3.8028130912868075e-36,***
ZNF101,-2.8437176912462605,-6.919999409659547,4.076281718413286,13798.0,1.66183366621889e-36,4.063226817404302e-36,***
ZNF703,4.238957757058178,6.107606062959928,-1.8686483059017496,349.0,1.7849239969444707e-36,4.341455763401395e-36,***
MLXIP,-3.2568741086558344,6.753450096159851,-10.010324204815685,353.0,1.9632458476545256e-36,4.750444615827272e-36,***
ZBTB34,3.1889525107193424,6.322514937505387,-3.1335624267860447,358.0,2.2112314127254067e-36,5.322912730632809e-36,***
IRF4,1.643588231927665,-1.3173944598139462,2.960982691741611,13781.0,2.4903231915959562e-36,5.9640047716682645e-36,***
HMGA2,3.8112949868314914,-8.490474542247595,12.301769529079086,13772.0,3.083746795352702e-36,7.347498741988324e-36,***
BAZ2B,1.3831973652460563,10.04448747616945,-8.661290110923394,376.0,3.390735148824308e-36,8.037935606603816e-36,***
IKZF3,-3.9813968996889444,-6.83938733422585,2.8579904345369056,13767.0,3.472113062149539e-36,8.189276767797146e-36,***
ZNF34,0.26648582114287744,0.7462052534811572,-0.47971943233827974,378.0,3.5554316117729956e-36,8.343651068834115e-36,***
ZNF511,1.0802185609635804,1.8251517812765763,-0.7449332203129959,382.0,3.909048126798067e-36,9.127627376073486e-36,***
