targetId,n_trials,pct_reached_phase3,n_reached_phase3,pct_reached_phase2,n_reached_phase2,pct_terminated,n_terminated,pct_withdrawn,n_withdrawn,pct_endpoint_primary,n_endpoint_primary,pct_endpoint_secondary,n_endpoint_secondary,pct_endpoint_either,n_endpoint_either,pct_phase1_to_phase2,n_phase1_to_phase2,targetFromSourceId
ENSG00000073417,64.0,31.2,24.0,80.5,62.0,14.3,11.0,2.6,2.0,19.5,15.0,22.1,17.0,26.0,20.0,0.0,0.0,O60658
ENSG00000073756,1776.0,54.6,1026.0,84.1,1580.0,11.2,211.0,4.3,80.0,35.8,673.0,35.2,661.0,37.8,709.0,19.8,45.0,P35354
ENSG00000073803,1.0,0.0,0.0,100.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,O43283
ENSG00000074181,3.0,0.0,0.0,0.0,0.0,33.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q9UM47
ENSG00000074370,7.0,0.0,0.0,85.7,6.0,0.0,0.0,28.6,2.0,14.3,1.0,14.3,1.0,14.3,1.0,0.0,0.0,Q93084
ENSG00000074410,44.0,46.8,22.0,80.9,38.0,21.3,10.0,6.4,3.0,23.4,11.0,23.4,11.0,25.5,12.0,0.0,0.0,O43570
ENSG00000074416,4.0,0.0,0.0,40.0,2.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q99685
ENSG00000074803,90.0,48.5,47.0,73.2,71.0,14.4,14.0,8.2,8.0,19.6,19.0,19.6,19.0,19.6,19.0,30.4,7.0,Q13621
ENSG00000074966,11.0,0.0,0.0,72.7,8.0,18.2,2.0,0.0,0.0,63.6,7.0,63.6,7.0,63.6,7.0,0.0,0.0,P42681
ENSG00000075043,69.0,60.5,46.0,93.4,71.0,13.2,10.0,5.3,4.0,42.1,32.0,43.4,33.0,44.7,34.0,50.0,2.0,O43526
ENSG00000075073,21.0,76.2,16.0,100.0,21.0,4.8,1.0,9.5,2.0,38.1,8.0,33.3,7.0,38.1,8.0,,0.0,P21452
ENSG00000075429,16.0,43.8,7.0,68.8,11.0,50.0,8.0,18.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,Q9UF02
ENSG00000075461,16.0,43.8,7.0,68.8,11.0,50.0,8.0,18.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,Q9UBN1
ENSG00000076555,23.0,11.5,3.0,69.2,18.0,11.5,3.0,7.7,2.0,42.3,11.0,38.5,10.0,42.3,11.0,28.6,2.0,O00763
ENSG00000077092,299.0,42.5,144.0,70.2,238.0,11.2,38.0,4.7,16.0,31.6,107.0,28.3,96.0,31.9,108.0,28.4,19.0,P10826
ENSG00000077097,690.0,24.5,213.0,72.0,626.0,16.4,143.0,4.3,37.0,38.2,332.0,37.5,326.0,40.3,351.0,11.0,20.0,Q02880
ENSG00000077150,4.0,50.0,2.0,50.0,2.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q00653
ENSG00000077238,71.0,36.0,31.0,66.3,57.0,5.8,5.0,2.3,2.0,47.7,41.0,50.0,43.0,50.0,43.0,4.2,1.0,P24394
ENSG00000077498,1.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,P14679
ENSG00000077514,2225.0,14.7,405.0,67.0,1848.0,18.5,511.0,4.6,127.0,32.1,885.0,31.5,869.0,34.4,948.0,19.0,123.0,Q15054
ENSG00000077782,501.0,8.1,46.0,61.4,349.0,22.4,127.0,5.3,30.0,22.0,125.0,19.7,112.0,23.2,132.0,14.6,25.0,P11362
ENSG00000078061,4.0,0.0,0.0,0.0,0.0,71.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P10398
ENSG00000078098,5.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q12884
ENSG00000078814,19.0,15.8,3.0,78.9,15.0,10.5,2.0,5.3,1.0,57.9,11.0,52.6,10.0,63.2,12.0,75.0,3.0,A7E2Y1
ENSG00000079277,6.0,0.0,0.0,50.0,3.0,50.0,3.0,0.0,0.0,16.7,1.0,16.7,1.0,16.7,1.0,0.0,0.0,Q9BUB5
ENSG00000079459,16.0,81.2,13.0,100.0,16.0,31.2,5.0,0.0,0.0,68.8,11.0,68.8,11.0,75.0,12.0,,0.0,P37268
